ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA;
11417756;"AECC Madrid En Marcha:VIII Carrera Madrid contra el Cáncer";"";"0";"1";"L,M,X,J,V,S,D";"";"2021-09-13 00:00:00.0";"2021-09-19 23:59:00.0";"00:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ace7eeb2dcd1a710VgnVCM1000001d4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas";"";
11320438;"Camino a Mercedes";"";"1";"0";"";"";"2021-11-04 00:00:00.0";"2021-11-04 23:59:00.0";"19:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f357e1f5e2277710VgnVCM1000001d4a900aRCRD";"Camino a Mercedes";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9b57e1f5e2277710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee4a1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Nicolás Salmerón (Chamartín)";"1";"CALLE";"MANTUANO";"51";"CHAMARTIN";"CIUDAD JARDIN";"28002";"442656";"4477714";"40.44810636195716";"-3.6762309620097398";"/contenido/actividades/1ciudad21distritos";"";
11405056;"Copa Davis 2021";"";"0";"1";"L,M,X,J,V,S,D";"";"2021-11-25 00:00:00.0";"2021-12-05 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0c9ee2f4dc2b9710VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c53179262ef5d010VgnVCM1000000b205a0aRCRD";"Pabellón Multiusos Madrid Arena (Recinto Ferial Casa de Campo)";"1";"AVENIDA";"PRINCIPAL";"14";"MONCLOA-ARAVACA";"CASA DE CAMPO";"28011";"437456";"4474126";"40.41352730435772";"-3.7384704159174076";"/contenido/actividades/ActividadesDeportivas";"";
11410120;"Cursos polideportivos del mes de julio 2021. Distrito Usera";"";"0";"1";"L,M,X,J,V,S,D";"";"2021-07-01 00:00:00.0";"2021-07-30 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ad690fded45e9710VgnVCM1000001d4a900aRCRD";"Cursos polideportivos del mes de julio 2021. Distrito Usera";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=75648534df3e9710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=483e79262ef5d010VgnVCM1000000b205a0aRCRD";"Centro Deportivo Municipal Orcasur";"1";"CALLE";"MOREJA";"11";"USERA";"ORCASUR";"28041";"440727";"4469292";"40.37021993373859";"-3.6994689006077444";"/contenido/actividades/ActividadesDeportivas";"";
11410116;"Cursos polideportivos del mes de julio 2021. Distrito Usera";"";"0";"1";"L,M,X,J,V,S,D";"";"2021-07-01 00:00:00.0";"2021-07-30 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8e690fded45e9710VgnVCM1000001d4a900aRCRD";"Cursos polideportivos del mes de julio 2021. Distrito Usera";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=75648534df3e9710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a11e79262ef5d010VgnVCM1000000b205a0aRCRD";"Centro Deportivo Municipal Orcasitas";"2,5,6";"AVENIDA";"RAFAELA YBARRA";"52";"USERA";"ZOFIO";"28026";"439519";"4469689";"40.37558213858424";"-3.71245854352948";"/contenido/actividades/ActividadesDeportivas";"";
11413914;"EDP Rock ?n? Roll Running Series Madrid";"";"0";"0";"";"";"2021-09-26 00:00:00.0";"2021-09-26 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6fc38b0ce8af9710VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/contenido/actividades/ActividadesDeportivas/CarrerasMaratones";"";
8619701;"Inauguración exposción alimentación y cambio climático";"";"1";"0";"";"";"2021-08-05 00:00:00.0";"2021-08-05 23:59:00.0";"18:00";"Food Wave inaugura para todos los públicos la exposición Alimentación y Cambio climático. Un conjunto de piezas que nos hace reflexionar sobre nuestros hábitos alimenticios y el impacto que generan sobre el medio ambiente.   Fecha y hora de celebración: jueves 5 de agosto a las 18h  Inscripción: consultar con el centro. 913320198  Plazas:  Consultar 50% del aforo";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f192d7d6bc022510VgnVCM2000000c205a0aRCRD";"Actividades en el centro juvenil 'El Sitio de mi recreo' (Villa de Vallecas). Junio 2021";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=17508a5b3ffd1410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9bd738d60b41c010VgnVCM2000000c205a0aRCRD";"Centro Juvenil El Sitio de mi Recreo (Villa de Vallecas)";"1";"CALLE";"REAL DE ARGANDA";"39";"VILLA DE VALLECAS";"SANTA EUGENIA";"28031";"447634";"4470066";"40.37953682427198";"-3.616901585603186";"";"/usuario/Jovenes";
10903726;"Marcopolo acuático";"";"1";"0";"";"19/7/2019;";"2021-08-14 00:00:00.0";"2021-08-14 23:59:00.0";"18:00";"No te pierdas este refrescante juego donde pondrás a prueba tu oído y ubicación espacial pero, sobre todo, pondrás a prueba tu puntería   Fecha y hora de celebración: sábado 14 de agosto  Periodo de inscripción: sin inscripcion previa  Plazas: 50% del aforo";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b7bb05b0e439610VgnVCM2000001f4a900aRCRD";"Actividades en el centro juvenil 'El Sitio de mi recreo' (Villa de Vallecas). Junio 2021";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=17508a5b3ffd1410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9bd738d60b41c010VgnVCM2000000c205a0aRCRD";"Centro Juvenil El Sitio de mi Recreo (Villa de Vallecas)";"1";"CALLE";"REAL DE ARGANDA";"39";"VILLA DE VALLECAS";"SANTA EUGENIA";"28031";"447634";"4470066";"40.37953682427198";"-3.616901585603186";"/contenido/actividades/ActividadesDeportivas";"/usuario/Jovenes";
11425694;"Tenis. Campamentos de Verano 2021 en la Caja Mágica";"";"0";"1";"L,M,X,J,V";"";"2021-07-05 00:00:00.0";"2021-08-27 23:59:00.0";"09:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b4c135898c15a710VgnVCM2000001f4a900aRCRD";"Tenis. Campamentos de Verano 2021 en la Caja Mágica";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5132a74d2205a710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b7c3a201600ff110VgnVCM1000000b205a0aRCRD";"Madrid Caja Mágica";"1";"CAMINO";"PERALES";"23";"USERA";"SAN FERMIN";"28041";"441823";"4468948";"40.369079808434435";"-3.685252060454517";"/contenido/actividades/ActividadesDeportivas";"";
